participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.strategies,player.row_move,player.random_time,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,0lb2wjbg,LAB3,0,46,45,payoff,GameOutcome,10.47.236.25,2019-01-24 17:13:54.885753+00:00,1,,,1606,1,"[{""strategy"":2,""time"":2.776},{""strategy"":1,""time"":9.568},{""strategy"":2,""time"":49.488}]",1,42,0,1,3,77cx1z62,,,,,,0
2,t0lbq4x3,LAB2,0,46,45,payoff,GameOutcome,10.31.52.90,2019-01-24 17:13:56.186609+00:00,1,,,1806,2,"[{""strategy"":2,""time"":2.123}]",2,13,0,1,3,77cx1z62,,,,,,0
3,1o5dl7vy,LAB1,0,46,45,payoff,GameOutcome,10.16.211.44,2019-01-24 17:14:03.409764+00:00,1,,,2106,3,"[{""strategy"":1,""time"":0.942},{""strategy"":2,""time"":4.325},{""strategy"":1,""time"":12.893},{""strategy"":2,""time"":17.158},{""strategy"":1,""time"":58.056}]",2,27,0,1,3,77cx1z62,,,,,,0
4,pgqfhyr8,LAB8,0,46,45,payoff,GameOutcome,10.113.227.235,2019-01-24 17:13:58.925971+00:00,1,,,806,4,"[{""strategy"":1,""time"":0.491}]",1,21,0,1,3,77cx1z62,,,,,,0
5,p5vhe9sq,LAB4,0,46,45,payoff,GameOutcome,10.47.177.168,2019-01-24 17:14:03.376865+00:00,1,,,1706,5,"[{""strategy"":1,""time"":1.586},{""strategy"":2,""time"":20.575}]",2,52,0,1,3,77cx1z62,,,,,,0
6,2em5km2n,LAB5,0,46,45,payoff,GameOutcome,10.37.242.200,2019-01-24 17:14:03.966166+00:00,1,,,1406,6,"[{""strategy"":2,""time"":1.883}]",2,16,400,1,3,77cx1z62,,,,,,0
7,ujwmue0z,LAB6,0,46,45,payoff,GameOutcome,10.63.255.156,2019-01-24 17:14:04.139967+00:00,1,,,1507,7,"[{""strategy"":1,""time"":1.084},{""strategy"":2,""time"":22.227},{""strategy"":1,""time"":23.611},{""strategy"":2,""time"":24.723},{""strategy"":1,""time"":26.147},{""strategy"":2,""time"":28.131},{""strategy"":1,""time"":30.578},{""strategy"":2,""time"":34.217}]",1,5,300,1,3,77cx1z62,,,,,,0
8,qilbatqv,LAB10,0,46,45,payoff,GameOutcome,10.142.105.142,2019-01-24 17:14:00.912688+00:00,1,,,1307,8,"[{""strategy"":1,""time"":6.721},{""strategy"":2,""time"":32.072}]",1,25,0,1,3,77cx1z62,,,,,,0
9,5trhxuoe,LAB7,0,46,45,payoff,GameOutcome,10.69.187.197,2019-01-24 17:14:06.022313+00:00,1,,,1206,9,"[{""strategy"":2,""time"":1.853},{""strategy"":1,""time"":13.432}]",1,33,300,1,3,77cx1z62,,,,,,0
10,o641l6k4,LAB9,0,46,45,payoff,GameOutcome,10.37.169.54,2019-01-24 17:14:07.534604+00:00,1,,,2506,10,"[{""strategy"":1,""time"":0.837},{""strategy"":2,""time"":1.488},{""strategy"":1,""time"":2.006},{""strategy"":2,""time"":2.509},{""strategy"":1,""time"":2.979},{""strategy"":2,""time"":3.45},{""strategy"":1,""time"":3.949},{""strategy"":2,""time"":4.402},{""strategy"":1,""time"":4.844},{""strategy"":2,""time"":5.303},{""strategy"":1,""time"":5.838},{""strategy"":2,""time"":6.307},{""strategy"":1,""time"":6.81},{""strategy"":2,""time"":7.292},{""strategy"":1,""time"":7.747},{""strategy"":2,""time"":8.195},{""strategy"":1,""time"":8.647},{""strategy"":2,""time"":9.084},{""strategy"":1,""time"":9.534},{""strategy"":2,""time"":9.955},{""strategy"":1,""time"":10.403},{""strategy"":2,""time"":10.86},{""strategy"":1,""time"":11.308},{""strategy"":2,""time"":11.762},{""strategy"":1,""time"":12.204}]",1,36,0,1,3,77cx1z62,,,,,,0
11,c0v4qan9,LAB12,0,46,45,payoff,GameOutcome,10.97.185.31,2019-01-24 17:14:09.733558+00:00,1,,,707,11,"[{""strategy"":1,""time"":0.591},{""strategy"":2,""time"":1.22},{""strategy"":1,""time"":10.951},{""strategy"":2,""time"":18.762},{""strategy"":1,""time"":33.781}]",2,27,0,1,3,77cx1z62,,,,,,0
12,81xnz4yu,LAB13,0,46,45,payoff,GameOutcome,10.140.162.50,2019-01-24 17:14:06.328172+00:00,1,,,1707,12,"[{""strategy"":1,""time"":4.426}]",0,4,0,1,3,77cx1z62,,,,,,0
13,k4tramti,LAB14,0,46,45,payoff,GameOutcome,10.79.217.135,2019-01-24 17:14:10.128381+00:00,1,,,1807,13,"[{""strategy"":2,""time"":11.345}]",2,24,0,1,3,77cx1z62,,,,,,0
14,p3a51zbr,LAB15,0,46,45,payoff,GameOutcome,10.63.212.72,2019-01-24 17:14:08.443959+00:00,1,,,3006,14,"[{""strategy"":1,""time"":0.571},{""strategy"":2,""time"":15.817}]",2,32,0,1,3,77cx1z62,,,,,,0
15,1p1s5fq2,LAB16,0,46,45,payoff,GameOutcome,10.31.52.90,2019-01-24 17:14:09.629854+00:00,1,,,1506,15,"[{""strategy"":1,""time"":1.618},{""strategy"":2,""time"":8.08}]",2,23,0,1,3,77cx1z62,,,,,,0
16,fg31zine,LAB11,0,46,45,payoff,GameOutcome,10.63.225.86,2019-01-24 17:14:31.465234+00:00,1,,,2707,16,"[{""strategy"":2,""time"":1.211},{""strategy"":1,""time"":15.977}]",1,48,0,1,3,77cx1z62,,,,,,0
17,nadr9fib,LAB18,0,46,45,payoff,GameOutcome,10.45.83.39,2019-01-24 17:14:30.234360+00:00,1,,,1806,17,"[{""strategy"":1,""time"":3.343},{""strategy"":2,""time"":10.254}]",2,42,0,1,3,77cx1z62,,,,,,0
18,4bhjmaks,LAB17,0,46,45,payoff,GameOutcome,10.16.214.130,2019-01-24 17:14:36.837958+00:00,1,,,2407,18,"[{""strategy"":1,""time"":1.438},{""strategy"":2,""time"":27.496}]",2,45,400,1,3,77cx1z62,,,,,,0
19,dyfhrnow,LAB19,0,46,45,payoff,GameOutcome,10.45.114.69,2019-01-24 17:14:47.570603+00:00,1,,,2307,19,"[{""strategy"":2,""time"":4.582}]",2,37,0,1,3,77cx1z62,,,,,,0
1,0lb2wjbg,LAB3,0,46,45,payoff,GameOutcome,10.47.236.25,2019-01-24 17:13:54.885753+00:00,1,,,1606,1,"[{""strategy"":2,""time"":2.173},{""strategy"":1,""time"":21.644},{""strategy"":2,""time"":44.045}]",2,7,0,1,4,77cx1z62,,,,,,0
2,t0lbq4x3,LAB2,0,46,45,payoff,GameOutcome,10.31.52.90,2019-01-24 17:13:56.186609+00:00,1,,,1806,2,"[{""strategy"":1,""time"":3.715},{""strategy"":2,""time"":11.259},{""strategy"":1,""time"":43.485},{""strategy"":2,""time"":59.362},{""strategy"":1,""time"":63.29}]",1,56,0,1,4,77cx1z62,,,,,,0
3,1o5dl7vy,LAB1,0,46,45,payoff,GameOutcome,10.16.211.44,2019-01-24 17:14:03.409764+00:00,1,,,2106,3,"[{""strategy"":1,""time"":0.519}]",1,32,0,1,4,77cx1z62,,,,,,0
4,pgqfhyr8,LAB8,0,46,45,payoff,GameOutcome,10.113.227.235,2019-01-24 17:13:58.925971+00:00,1,,,806,4,"[{""strategy"":1,""time"":2.733},{""strategy"":2,""time"":19.849},{""strategy"":1,""time"":25.109}]",1,3,400,1,4,77cx1z62,,,,,,0
5,p5vhe9sq,LAB4,0,46,45,payoff,GameOutcome,10.47.177.168,2019-01-24 17:14:03.376865+00:00,1,,,1706,5,"[{""strategy"":1,""time"":0.813},{""strategy"":2,""time"":44.873}]",1,3,0,1,4,77cx1z62,,,,,,0
6,2em5km2n,LAB5,0,46,45,payoff,GameOutcome,10.37.242.200,2019-01-24 17:14:03.966166+00:00,1,,,1406,6,"[{""strategy"":1,""time"":3.539}]",1,19,0,1,4,77cx1z62,,,,,,0
7,ujwmue0z,LAB6,0,46,45,payoff,GameOutcome,10.63.255.156,2019-01-24 17:14:04.139967+00:00,1,,,1507,7,"[{""strategy"":1,""time"":1.443},{""strategy"":2,""time"":30.731}]",2,36,100,1,4,77cx1z62,,,,,,0
8,qilbatqv,LAB10,0,46,45,payoff,GameOutcome,10.142.105.142,2019-01-24 17:14:00.912688+00:00,1,,,1307,8,"[{""strategy"":1,""time"":15.115}]",1,36,0,1,4,77cx1z62,,,,,,0
9,5trhxuoe,LAB7,0,46,45,payoff,GameOutcome,10.69.187.197,2019-01-24 17:14:06.022313+00:00,1,,,1206,9,"[{""strategy"":1,""time"":0.801},{""strategy"":2,""time"":13.666}]",0,0,0,1,4,77cx1z62,,,,,,0
10,o641l6k4,LAB9,0,46,45,payoff,GameOutcome,10.37.169.54,2019-01-24 17:14:07.534604+00:00,1,,,2506,10,"[{""strategy"":1,""time"":0.709}]",1,49,0,1,4,77cx1z62,,,,,,0
11,c0v4qan9,LAB12,0,46,45,payoff,GameOutcome,10.97.185.31,2019-01-24 17:14:09.733558+00:00,1,,,707,11,"[{""strategy"":1,""time"":1.413},{""strategy"":2,""time"":2.871},{""strategy"":1,""time"":5.446},{""strategy"":2,""time"":15.926}]",2,26,100,1,4,77cx1z62,,,,,,0
12,81xnz4yu,LAB13,0,46,45,payoff,GameOutcome,10.140.162.50,2019-01-24 17:14:06.328172+00:00,1,,,1707,12,"[{""strategy"":1,""time"":1.704}]",1,40,400,1,4,77cx1z62,,,,,,0
13,k4tramti,LAB14,0,46,45,payoff,GameOutcome,10.79.217.135,2019-01-24 17:14:10.128381+00:00,1,,,1807,13,"[{""strategy"":2,""time"":0.4},{""strategy"":1,""time"":31.935}]",1,55,0,1,4,77cx1z62,,,,,,0
14,p3a51zbr,LAB15,0,46,45,payoff,GameOutcome,10.63.212.72,2019-01-24 17:14:08.443959+00:00,1,,,3006,14,"[{""strategy"":1,""time"":0.526},{""strategy"":2,""time"":11.781},{""strategy"":1,""time"":20.749},{""strategy"":2,""time"":46.477},{""strategy"":1,""time"":64.044}]",1,2,0,1,4,77cx1z62,,,,,,0
15,1p1s5fq2,LAB16,0,46,45,payoff,GameOutcome,10.31.52.90,2019-01-24 17:14:09.629854+00:00,1,,,1506,15,"[{""strategy"":1,""time"":0.251}]",1,46,400,1,4,77cx1z62,,,,,,0
16,fg31zine,LAB11,0,46,45,payoff,GameOutcome,10.63.225.86,2019-01-24 17:14:31.465234+00:00,1,,,2707,16,"[{""strategy"":1,""time"":0.788}]",1,30,0,1,4,77cx1z62,,,,,,0
17,nadr9fib,LAB18,0,46,45,payoff,GameOutcome,10.45.83.39,2019-01-24 17:14:30.234360+00:00,1,,,1806,17,"[{""strategy"":1,""time"":2.362},{""strategy"":2,""time"":26.246}]",2,56,0,1,4,77cx1z62,,,,,,0
18,4bhjmaks,LAB17,0,46,45,payoff,GameOutcome,10.16.214.130,2019-01-24 17:14:36.837958+00:00,1,,,2407,18,"[{""strategy"":1,""time"":1.642}]",0,0,0,1,4,77cx1z62,,,,,,0
19,dyfhrnow,LAB19,0,46,45,payoff,GameOutcome,10.45.114.69,2019-01-24 17:14:47.570603+00:00,1,,,2307,19,"[{""strategy"":1,""time"":0.85},{""strategy"":2,""time"":20.846}]",2,29,0,1,4,77cx1z62,,,,,,0
1,0lb2wjbg,LAB3,0,46,45,payoff,GameOutcome,10.47.236.25,2019-01-24 17:13:54.885753+00:00,1,,,1606,1,"[{""strategy"":2,""time"":1.775},{""strategy"":1,""time"":33.007}]",1,46,300,1,5,77cx1z62,,,,,,0
2,t0lbq4x3,LAB2,0,46,45,payoff,GameOutcome,10.31.52.90,2019-01-24 17:13:56.186609+00:00,1,,,1806,2,"[{""strategy"":2,""time"":1.87},{""strategy"":1,""time"":11.902},{""strategy"":2,""time"":22.651},{""strategy"":1,""time"":28.229},{""strategy"":2,""time"":34.348},{""strategy"":1,""time"":35.859},{""strategy"":2,""time"":38.036},{""strategy"":1,""time"":39.828},{""strategy"":2,""time"":41.396},{""strategy"":1,""time"":42.062},{""strategy"":2,""time"":42.875},{""strategy"":1,""time"":43.771},{""strategy"":2,""time"":44.355},{""strategy"":1,""time"":44.876},{""strategy"":2,""time"":45.515},{""strategy"":1,""time"":46.027},{""strategy"":2,""time"":46.595},{""strategy"":1,""time"":47.06},{""strategy"":2,""time"":48.523},{""strategy"":1,""time"":49.022},{""strategy"":2,""time"":49.572},{""strategy"":1,""time"":50.107},{""strategy"":2,""time"":50.652},{""strategy"":1,""time"":51.019},{""strategy"":2,""time"":51.467},{""strategy"":1,""time"":51.816},{""strategy"":2,""time"":52.187},{""strategy"":1,""time"":52.586},{""strategy"":2,""time"":52.948},{""strategy"":1,""time"":53.323},{""strategy"":2,""time"":53.699},{""strategy"":1,""time"":54.107},{""strategy"":2,""time"":54.53},{""strategy"":1,""time"":54.99},{""strategy"":2,""time"":55.372},{""strategy"":1,""time"":63.538},{""strategy"":2,""time"":64.548},{""strategy"":1,""time"":65.035}]",1,13,0,1,5,77cx1z62,,,,,,0
3,1o5dl7vy,LAB1,0,46,45,payoff,GameOutcome,10.16.211.44,2019-01-24 17:14:03.409764+00:00,1,,,2106,3,"[{""strategy"":1,""time"":1.85},{""strategy"":2,""time"":41.355},{""strategy"":1,""time"":48.259},{""strategy"":2,""time"":55.137}]",1,17,0,1,5,77cx1z62,,,,,,0
